epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.745389997959137,0.5201453566551208,0.01,0.8288000226020813,0.3803199827671051
1,0.838379979133606,0.3613470792770386,0.01,0.8890500068664551,0.2729097306728363
2,0.8794599771499634,0.28470319509506226,0.01,0.8895000219345093,0.2685462534427643
3,0.9069600105285645,0.22608189284801483,0.01,0.9074000120162964,0.2247202843427658
4,0.925279974937439,0.1861100196838379,0.01,0.9304999709129333,0.1772456020116806
5,0.9371700286865234,0.15807974338531494,0.01,0.9478999972343445,0.13491575419902802
6,0.9461299777030945,0.13737699389457703,0.01,0.9607499837875366,0.10537755489349365
7,0.9531000256538391,0.11966706067323685,0.01,0.9578999876976013,0.11313474178314209
8,0.9576600193977356,0.10951583087444305,0.01,0.9607499837875366,0.10466502606868744
9,0.9634299874305725,0.09645704180002213,0.01,0.9654499888420105,0.09177254885435104
10,0.9680200219154358,0.08504382520914078,0.01,0.9674999713897705,0.08906296640634537
11,0.9698799848556519,0.07908596843481064,0.01,0.9666000008583069,0.0909498929977417
12,0.9723600149154663,0.07491463422775269,0.01,0.9776999950408936,0.06397519260644913
13,0.9739599823951721,0.0687202662229538,0.01,0.9746000170707703,0.06881225854158401
14,0.9754199981689453,0.06626296043395996,0.01,0.9605000019073486,0.12101707607507706
